Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Ovins et caprins (cheptel mixte)",-,-,957,Animal,134,1,0,94,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Camélidés",-,-,-,Animal,2,0,0,2,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,138,Animal,40,0,0,40,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Tous,-,"",-,254,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Peste équine  (Inf. par le virus de la)","not sampled",Domestique,-,"Equidés",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Free State","Peste équine  (Inf. par le virus de la)","not sampled",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Brucella abortus (Inf. à)","",Domestique,-,"Bovins",-,-,-,Animal,193,4,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Brucella abortus (Inf. à)","",Tous,-,"",-,6,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Chlamydiose aviaire","",Domestique,-,"Oiseaux",-,-,24,Animal,2,0,0,2,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Chlamydiose aviaire","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,4,Animal,3,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre catarrhale ovine (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,-,Animal,27,0,0,27,288
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre catarrhale ovine (Inf. par le virus de la)","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,270,Animal,1,0,0,1,2150
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,248,Animal,9,0,0,4,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Caprins",-,-,1,Animal,0,0,0,0,-
